,Correlation,Mutual Information,Random Forest Importance,Mean_Score
trader_ppv,0.7544893035650995,1.339689156593245,0.006820685706120051,0.7003330486214883
trader_pnl,0.05410710797479686,0.89284911609289,0.5126906621171183,0.48654896206160175
mean_delta,0.1495230092898947,0.2880012416315596,0.012740822019530123,0.15008835764699482
largest_tags_topic_share,0.011974390629565995,0.0453806268878747,0.28414404926337294,0.11383302226027121
std_delta,0.08790173979716223,0.205237557476051,0.0003710146779581375,0.09783677065039044
mean_tx_value,0.00656621443964853,0.1680529467738494,0.0019719888702257765,0.058863716694574575
trader_volume,0.006639626429503405,0.15053868772612855,0.009829218854305688,0.05566917766997922
volume_per_day,0.008528377061731193,0.1503828479384408,0.002571930540365936,0.05382771851351265
price_levels_per_transaction,0.04088602143827526,0.02986988508565025,0.06594361120729798,0.04556650591040783
std_tx_value,0.005754799033157062,0.09553318698837332,0.0010189995899344774,0.034102328537154954
